title,artist
Waiting On A War,Foo Fighters
Monsters,All Time Low featuring blackbear
Mood,24kGoldn featuring iann Dior
Follow You,Imagine Dragons
Heat Waves,Glass Animals
Darkness Settles In,Five Finger Death Punch
Without You,The Kid Laroi
Making A Fire,Foo Fighters
All My Favorite Songs,Weezer
We Are Between,Modest Mouse
Therefore I Am,Billie Eilish
My Ex's Best Friend,Machine Gun Kelly featuring blackbear
my ex’s best friend,Machine Gun Kelly featuring blackbear
Better Without You,Evanescence
Way Less Sad,AJR
Beggin,Måneskin
Serotonin,girl in red
No Son of Mine,Foo Fighters
Saturday,twenty one pilots
Willow,Taylor Swift
Missing Piece,Vance Joy
Bang!,AJR
The Bandit,Kings of Leon
Shy Away,twenty one pilots
A-O-K,Tai Verdes
Wrecked,Imagine Dragons
Find My Way,Paul McCartney
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Higher Power,Coldplay
Happier Than Ever,Billie Eilish
My Universe,Coldplay featuring BTS
Your Power,Billie Eilish
Brutal,Olivia Rodrigo
Bed Head,Manchester Orchestra
Sofia,Clairo
Nowhere Generation,Rise Against
Freaks,Surf Curse
NDA,Billie Eilish
estella//,KennyHoopla featuring Travis Barker
Come & Go,Juice WRLD featuring Marshmello
I Wanna Be Your Slave,Måneskin
Hypotheticals,Lake Street Dive
La Di Die,Nessa Barrett featuring jxdn
t r a n s p a r e n t s o u l,Willow featuring Travis Barker
Fire For You,Cannons
Love Race,Machine Gun Kelly featuring Kellin Quinn
Deep End,Fousheé
Violent,carolesdaughter
Solar Power,Lorde
Once In A Lifetime,All Time Low
transparentsoul,Willow featuring Travis Barker
Colors,Black Pumas
Papercuts,Machine Gun Kelly
Let The Bad Times Roll,The Offspring
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
Cloud 9,Beach Bunny featuring Tegan and Sara
Can You Handle My Love??,Walk The Moon
Taking Me Back,Jack White
Lost Cause,Billie Eilish
Nobody's Stopping You Now,Lake Street Dive
I Hope Ur Miserable Until Ur Dead,Nessa Barrett
Down,St. Vincent
Overwhelmed,Royal and The Serpent
Champagne Problems,Taylor Swift
Stop Making This Hurt,Bleachers
Shame Shame,Foo Fighters
What You Say,Cold War Kids
You,"benny blanco, Marshmello & Vance Joy"
Colorado,Milky Chance
Time In Disguise,Kings of Leon
Life Goes On,Oliver Tree
Happy Endings,Mike Shinoda featuring iann dior & Upsahl
The Sun Hasn't Left,Modest Mouse
Bloody Valentine,Machine Gun Kelly
Runaway,AURORA
Distorted Light Beam,Bastille
Forget Me Too,Machine Gun Kelly & Halsey
Bad Dream,Cannons
Dreams,Fleetwood Mac
Chaise Longue,Wet Leg
I Don’t Wanna Talk (I Just Wanna Dance),Glass Animals
Someone To You,Banners
Dirty,grandson
Paralyzed,Sueco
Sticky,The Maine
Fly Away,Tones And I
Gold Rush,Taylor Swift
1 Last Cigarette,The Band CAMINO
Echoing,Kings of Leon
Tis The Damn Season,Taylor Swift
fake friend,"nothing,nowhere."
Plastic Hearts,Miley Cyrus
Record Player,Daisy The Great featuring AJR
Tolerate It,Taylor Swift
All About You,The Knocks featuring Foster The People
Know That I Know,Lake Street Dive
SugarCrash!,ElyOtto
"I Am Not A Woman, I'm A God",Halsey
Trouble’s Coming,Royal Blood
Exile,Taylor Swift featuring Bon Iver
